start_point,step,position,transform
0,0,0,Mod7 Shift
0,1,1,Mod7 Shift
0,2,2,Mod7 Shift
0,3,3,Mod7 Shift
0,4,4,Mod7 Shift
0,5,5,Mod7 Shift
0,6,6,Mod7 Shift
0,7,0,Mod7 Shift
0,8,1,Mod7 Shift
0,9,2,Mod7 Shift
0,10,3,Mod7 Shift
0,11,4,Mod7 Shift
0,12,5,Mod7 Shift
0,13,6,Mod7 Shift
0,14,0,Mod7 Shift
0,15,1,Mod7 Shift
0,16,2,Mod7 Shift
0,17,3,Mod7 Shift
0,18,4,Mod7 Shift
0,19,5,Mod7 Shift
0,20,6,Mod7 Shift
1,0,1,Mod7 Shift
1,1,2,Mod7 Shift
1,2,3,Mod7 Shift
1,3,4,Mod7 Shift
1,4,5,Mod7 Shift
1,5,6,Mod7 Shift
1,6,0,Mod7 Shift
1,7,1,Mod7 Shift
1,8,2,Mod7 Shift
1,9,3,Mod7 Shift
1,10,4,Mod7 Shift
1,11,5,Mod7 Shift
1,12,6,Mod7 Shift
1,13,0,Mod7 Shift
1,14,1,Mod7 Shift
1,15,2,Mod7 Shift
1,16,3,Mod7 Shift
1,17,4,Mod7 Shift
1,18,5,Mod7 Shift
1,19,6,Mod7 Shift
1,20,0,Mod7 Shift
2,0,2,Mod7 Shift
2,1,3,Mod7 Shift
2,2,4,Mod7 Shift
2,3,5,Mod7 Shift
2,4,6,Mod7 Shift
2,5,0,Mod7 Shift
2,6,1,Mod7 Shift
2,7,2,Mod7 Shift
2,8,3,Mod7 Shift
2,9,4,Mod7 Shift
2,10,5,Mod7 Shift
2,11,6,Mod7 Shift
2,12,0,Mod7 Shift
2,13,1,Mod7 Shift
2,14,2,Mod7 Shift
2,15,3,Mod7 Shift
2,16,4,Mod7 Shift
2,17,5,Mod7 Shift
2,18,6,Mod7 Shift
2,19,0,Mod7 Shift
2,20,1,Mod7 Shift
3,0,3,Mod7 Shift
3,1,4,Mod7 Shift
3,2,5,Mod7 Shift
3,3,6,Mod7 Shift
3,4,0,Mod7 Shift
3,5,1,Mod7 Shift
3,6,2,Mod7 Shift
3,7,3,Mod7 Shift
3,8,4,Mod7 Shift
3,9,5,Mod7 Shift
3,10,6,Mod7 Shift
3,11,0,Mod7 Shift
3,12,1,Mod7 Shift
3,13,2,Mod7 Shift
3,14,3,Mod7 Shift
3,15,4,Mod7 Shift
3,16,5,Mod7 Shift
3,17,6,Mod7 Shift
3,18,0,Mod7 Shift
3,19,1,Mod7 Shift
3,20,2,Mod7 Shift
4,0,4,Mod7 Shift
4,1,5,Mod7 Shift
4,2,6,Mod7 Shift
4,3,0,Mod7 Shift
4,4,1,Mod7 Shift
4,5,2,Mod7 Shift
4,6,3,Mod7 Shift
4,7,4,Mod7 Shift
4,8,5,Mod7 Shift
4,9,6,Mod7 Shift
4,10,0,Mod7 Shift
4,11,1,Mod7 Shift
4,12,2,Mod7 Shift
4,13,3,Mod7 Shift
4,14,4,Mod7 Shift
4,15,5,Mod7 Shift
4,16,6,Mod7 Shift
4,17,0,Mod7 Shift
4,18,1,Mod7 Shift
4,19,2,Mod7 Shift
4,20,3,Mod7 Shift
5,0,5,Mod7 Shift
5,1,6,Mod7 Shift
5,2,0,Mod7 Shift
5,3,1,Mod7 Shift
5,4,2,Mod7 Shift
5,5,3,Mod7 Shift
5,6,4,Mod7 Shift
5,7,5,Mod7 Shift
5,8,6,Mod7 Shift
5,9,0,Mod7 Shift
5,10,1,Mod7 Shift
5,11,2,Mod7 Shift
5,12,3,Mod7 Shift
5,13,4,Mod7 Shift
5,14,5,Mod7 Shift
5,15,6,Mod7 Shift
5,16,0,Mod7 Shift
5,17,1,Mod7 Shift
5,18,2,Mod7 Shift
5,19,3,Mod7 Shift
5,20,4,Mod7 Shift
6,0,6,Mod7 Shift
6,1,0,Mod7 Shift
6,2,1,Mod7 Shift
6,3,2,Mod7 Shift
6,4,3,Mod7 Shift
6,5,4,Mod7 Shift
6,6,5,Mod7 Shift
6,7,6,Mod7 Shift
6,8,0,Mod7 Shift
6,9,1,Mod7 Shift
6,10,2,Mod7 Shift
6,11,3,Mod7 Shift
6,12,4,Mod7 Shift
6,13,5,Mod7 Shift
6,14,6,Mod7 Shift
6,15,0,Mod7 Shift
6,16,1,Mod7 Shift
6,17,2,Mod7 Shift
6,18,3,Mod7 Shift
6,19,4,Mod7 Shift
6,20,5,Mod7 Shift
