transform,initial_value,trajectory_length,converged,fixed_point,cycle_length,final_value
Linear 2x+1,1,51,False,,0,47
Linear 2x+1,5,51,False,,0,43
Linear 2x+1,10,51,False,,0,63
Linear 2x+1,25,51,False,,0,23
Linear 2x+1,50,51,False,,0,23
Linear 2x+1,75,51,False,,0,23
Linear 2x+1,90,51,False,,0,83
Quadratic x^2,1,11,True,1.0,0,1
Quadratic x^2,5,11,True,25.0,0,25
Quadratic x^2,10,11,True,0.0,0,0
Quadratic x^2,25,11,True,25.0,0,25
Quadratic x^2,50,11,True,0.0,0,0
Quadratic x^2,75,11,True,25.0,0,25
Quadratic x^2,90,11,True,0.0,0,0
Collatz Step,1,11,False,,3,4
Collatz Step,5,11,False,,3,2
Collatz Step,10,11,False,,3,4
Collatz Step,25,25,False,,0,4
Collatz Step,50,26,False,,0,4
Collatz Step,75,16,False,,0,4
Collatz Step,90,19,False,,0,4
Discrete Logistic,1,11,False,,2,64
Discrete Logistic,5,11,False,,2,64
Discrete Logistic,10,11,False,,2,60
Discrete Logistic,25,11,False,,2,72
Discrete Logistic,50,11,False,,2,60
Discrete Logistic,75,11,False,,2,72
Discrete Logistic,90,11,False,,2,60
Tent Map,1,51,False,,0,24
Tent Map,5,11,False,,2,80
Tent Map,10,11,False,,2,40
Tent Map,25,11,True,0.0,0,0
Tent Map,50,11,True,0.0,0,0
Tent Map,75,11,True,0.0,0,0
Tent Map,90,11,False,,2,40
